PGPGRP,CTPPGD,PGPRDC,PGDESC,TOTAV01
4103 ,Majestic Units                ,RUBY25IL                           ,LP DV SM INSERT W/FAN &REMOTE ,2.00                     
4103 ,Majestic Units                ,RUBY25IN                           ,NG DV SM INSERT W/FAN &REMOTE ,4.00                     
4103 ,Majestic Units                ,RUBY30IL                           ,LP DV MED INSERT W/FAN &REMOTE,6.00                     
4103 ,Majestic Units                ,RUBY30IN                           ,NG DV MED INSERT W/FAN &REMOTE,38.00                    
4103 ,Majestic Units                ,RUBY35IL                           ,LP DV LRG INSERT W/FAN &REMOTE,8.00                     
4103 ,Majestic Units                ,RUBY35IN                           ,NG DV LRG INSERT W/FAN &REMOTE,17.00                    
4103 ,Majestic Units                ,SA36C                              ,"36"" CIRCULATING WOOD FPLC SOVR",13.00                    
4103 ,Majestic Units                ,SA36R                              ,"36"" RADIANT WOOD FIREPLACE SOV",5.00                     
4103 ,Majestic Units                ,SA42C                              ,"42"" CIRCULATING WOOD FPLC SOVR",6.00                     
4103 ,Majestic Units                ,SA42R                              ,"42"" RADIANT WOOD FRPLC SOVR   ",12.00                    
4103 ,Majestic Units                ,SB100                              ,"50"" RAD WOOD FIREPLACE BILTMOR",13.00                    
4103 ,Majestic Units                ,SB100HB                            ,"50"" RAD WOOD FPLC HB LINER BLT",3.00                     
4103 ,Majestic Units                ,SB60                               ,"38"" RAD WOOD FIREPLACE BILTMOR",.00                      
4103 ,Majestic Units                ,SB60HB                             ,"36"" RAD WOOD FPLC HB LINER BLT",3.00                     
4103 ,Majestic Units                ,SB80                               ,"42"" RAD WOOD FIREPLACE BILTMOR",-2.00                    
4103 ,Majestic Units                ,SB80HB                             ,"42"" RAD WOOD FPLC HB LINER BLT",7.00                     
4103 ,Majestic Units                ,SP18LP                             ,"18"" MV LP SAND PAN BRNR/SUPREM",2.00                     
4103 ,Majestic Units                ,SP18NG                             ,"18"" MV NG SAND PAN BRNR/SUPREM",3.00                     
4103 ,Majestic Units                ,SP24LP                             ,"24"" MV LP SAND PAN BURNR/SUPRM",2.00                     
4103 ,Majestic Units                ,SP24NG                             ,"24"" MV NG SAND PAN BURNR/SUPRM",1.00                     
4103 ,Majestic Units                ,SP30LP                             ,"30"" MV LP SAND PAN BURNR/SUPRM",4.00                     
4103 ,Majestic Units                ,SP30NG                             ,"30"" MV NG SAND PAN BURNR/SUPRM",4.00                     
4103 ,Majestic Units                ,ST-DV36IN                          ,"36"" NG DV S/T TV/RV FPLC      ",.00                      
4103 ,Majestic Units                ,TRILLIANT25IL                      ,lP DV SM INSERT W/ITF SYSTEM  ,2.00                     
4103 ,Majestic Units                ,TRILLIANT25IN                      ,NG DV SM INSERT W/ITF SYSTEM  ,1.00                     
4103 ,Majestic Units                ,TRILLIANT30IL                      ,LP DV MED INSERT W/ITF SYSTEM ,4.00                     
4103 ,Majestic Units                ,TRILLIANT30IN                      ,NG DV MED INSERT W/ITF SYSTEM ,3.00                     
4103 ,Majestic Units                ,TRILLIANT35IL                      ,LP DV LRG INSERT W/ITF SYSTEM ,2.00                     
