Item ID,QTY
211-VFSR24LP,357
211-VFSR24NAT,169
211-VFSR30LP,154
211-VFSR30NAT,46
211-VFSUE18N,1
211-VFSUE18P,3
211-VFSUE24N,5
211-VFSUE24P,4
211-VFSUE30N,3
211-VFSUE30P,6
211-VFSUR18N,5
211-VFSUR18P,1
211-VFSUR24N,4
211-VFSUR24P,26
211-VFSUR30N,2
211-VFSUR30P,3
211-VFSV18LP,6
211-VFSV18NAT,12
211-VFSV24LP,26
211-VFSV24NAT,21
211-VFSV30LP,28
211-VFSV30NAT,17
211-VSR18LP,3
211-VSR24LP,1
211-WB36FB0F,3
211-WB44FB0F,8
211-WB54FB0F,6
212-00970W,2
212-AD1106V,1
212-BDO36SS,2
212-BDO42SS,3
212-BDW44BL,3
212-BDW44PE,1
212-BDW54BL,2
212-BDW54PE,1
212-BVA1,1
212-BVX3BL,1
212-C263BZ,1
212-CIB3,4
212-CSKF,2
212-CSKM,1
212-DCG24BL,4
212-DF362VBL,3
212-DF362XBZT,2
212-DF481VBL,12
212-DF482VBL,13
212-DF48BL,7
212-DF502BZT,10
212-DF601VBL,14
212-DF602VBL,7
212-DF60BL,4
212-DF60HP,2
212-DF721VBL,7
212-DF722LBLX,1
212-DF722VBL,3
212-DFEV60LSS,1
212-DFF36BL,1
212-DFF40FPD,1
212-DFF50CBL,1
212-DFSL30MBL,4
212-DFSL30PBL,9
212-DG1BCR,70
212-DG1BKP,112
212-DG1BUC,81
212-DG1BZR,59
212-DG1CLF,309
212-DG1GC,19
212-DG1NXS,4
212-DR1FMA,6
212-DRB1,3
212-DRFPA,34
212-DS20433BL,6
212-DS20763BL,2
212-DS2663BL,1
212-DS2663BZ,1
212-DS28433BL,3
212-DS28763BL,8
212-DT24PB,1
212-DT30SS,2
212-DT36SS,1
212-DT42SS,1
212-DT48LSS,4
212-DV648DBD,1
212-DV822,1
212-DVB1,5
212-DVEK10,5
212-DVEK25,1
212-DVF1BL,2
212-DVF2BL,2
212-DVF36BL,7
212-DVF36HP,1
212-DVF36XKR,1
212-DVF3BL,2
212-DVFB22TBL,2
212-DVFB32SBL,34
212-DVFB36SBL,3
212-DVFB36SPBL,19
212-DVFB36TBL,5
212-DVFB42TBL,4
212-DVFB48TBL,1
212-DVFQ36TBL,3
212-DVG1MBL,1
212-DVG2ABL,3
212-DVKI2P,1
212-DVKPMP,11
212-DVP1,1
212-DVP1SH,2
212-DVP2SA,15
212-DVP2SG,1
212-DVP2SH,1
212-DVP36D2A,2
212-DVP36D2H,2
212-DVP36PKR,4
212-DVP36XE,2
212-DVP36XKR,1
212-DVP36XWS,1
212-DVP3DA,5
212-DVP3SA,3
212-DVP3SG,5
212-DVP3SH,1
212-DVP3SKR,1
212-DVP40PKR,1
212-DVP40PSKR,1
212-DVP40PSWS,1
212-DVP48LKR,4
212-DVP4SG,1
212-DVP50CPWH,3
212-DVP50PTS,1
212-DVP60LKR,6
212-DVP60LPZ,1
212-DVRB2MBL,1
212-DVVK4F,49
212-DVVK4FV,70
212-DVVK4RE,1
212-DVVK4REVS,3
212-DVVK4RP,14
212-DVVK4TP,31
212-DVVK4VP,2
212-DVVK5F,5
212-DVVK5RP,4
212-DVVK5TP,1
212-DVWB2BL,1
212-EBL74TK,3
212-EF6700520100RP,6
212-EFRC,3
212-EK1,26
212-EK2,1
212-EL-150,1
212-ELH1,430
212-EMBC3SW,1
212-EMBF11SDO,2
212-EMBF11SO,1
212-EMBF1SC,1
212-EMBF1SO,2
212-EMBF1SW,4
212-EMBF3SC,1
212-EMBF3SO,1
212-EMBF3SW,3
212-EMF22DO,1
212-EMPTUH,3
212-FBB10,1
212-FBB14,1
212-FBB20,11
212-FBB21,4
212-FBB4,14
212-FBB5,102
212-FBB6,2
212-FBB7,2
212-FBBX,19
212-FBG36MBL,2
212-FPP26E,2
212-FRB3,2
212-FRBC,178
212-FRBTC2,81
212-FRBTPS,27
212-FREC,23
212-FRIP,2
212-FRSC,7
212-FWS1,1
212-GF24,42
212-GMB,1
212-GT060,4
212-GTCSS,10
212-HLS18R2,17
212-HLS24R2,67
212-HLS30R2,6
212-HMFA36P,1
212-HMFA60P,1
